Country Name,Country Code,Indicator Name,Indicator Code,2019
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,3.86112E+12
Djibouti,DJI,GDP (current US$),NY.GDP.MKTP.CD,3324634256
Dominica,DMA,GDP (current US$),NY.GDP.MKTP.CD,582403703.7
Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,3.50104E+11
Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,88941299734
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,1.71091E+11
East Asia & Pacific (excluding high income),EAP,GDP (current US$),NY.GDP.MKTP.CD,1.71517E+13
Early-demographic dividend,EAR,GDP (current US$),NY.GDP.MKTP.CD,1.19899E+13
East Asia & Pacific,EAS,GDP (current US$),NY.GDP.MKTP.CD,2.69247E+13
Europe & Central Asia (excluding high income),ECA,GDP (current US$),NY.GDP.MKTP.CD,3.24846E+12
Europe & Central Asia,ECS,GDP (current US$),NY.GDP.MKTP.CD,2.27928E+13
Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,1.07436E+11
"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,3.03092E+11
Euro area,EMU,GDP (current US$),NY.GDP.MKTP.CD,1.33561E+13
Eritrea,ERI,GDP (current US$),NY.GDP.MKTP.CD,
Spain,ESP,GDP (current US$),NY.GDP.MKTP.CD,1.39349E+12
Estonia,EST,GDP (current US$),NY.GDP.MKTP.CD,31471100656
Ethiopia,ETH,GDP (current US$),NY.GDP.MKTP.CD,95912590628
European Union,EUU,GDP (current US$),NY.GDP.MKTP.CD,1.56264E+13
Fragile and conflict affected situations,FCS,GDP (current US$),NY.GDP.MKTP.CD,1.77846E+12
Finland,FIN,GDP (current US$),NY.GDP.MKTP.CD,2.69296E+11
Fiji,FJI,GDP (current US$),NY.GDP.MKTP.CD,5496250694
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,2.71552E+12
Faroe Islands,FRO,GDP (current US$),NY.GDP.MKTP.CD,
"Micronesia, Fed. Sts.",FSM,GDP (current US$),NY.GDP.MKTP.CD,
Gabon,GAB,GDP (current US$),NY.GDP.MKTP.CD,16874450215
United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,2.82911E+12
Georgia,GEO,GDP (current US$),NY.GDP.MKTP.CD,17477255546
Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,66983634224
Gibraltar,GIB,GDP (current US$),NY.GDP.MKTP.CD,
Guinea,GIN,GDP (current US$),NY.GDP.MKTP.CD,12296665331
"Gambia, The",GMB,GDP (current US$),NY.GDP.MKTP.CD,1826073740
Guinea-Bissau,GNB,GDP (current US$),NY.GDP.MKTP.CD,1339449165
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,11026774945
Greece,GRC,GDP (current US$),NY.GDP.MKTP.CD,2.09853E+11
Grenada,GRD,GDP (current US$),NY.GDP.MKTP.CD,1210603704
Greenland,GRL,GDP (current US$),NY.GDP.MKTP.CD,
Guatemala,GTM,GDP (current US$),NY.GDP.MKTP.CD,76710355347
Guam,GUM,GDP (current US$),NY.GDP.MKTP.CD,
Guyana,GUY,GDP (current US$),NY.GDP.MKTP.CD,5173759528
High income,HIC,GDP (current US$),NY.GDP.MKTP.CD,5.51406E+13
"Hong Kong SAR, China",HKG,GDP (current US$),NY.GDP.MKTP.CD,3.65712E+11
Honduras,HND,GDP (current US$),NY.GDP.MKTP.CD,25095395475
Heavily indebted poor countries (HIPC),HPC,GDP (current US$),NY.GDP.MKTP.CD,7.83062E+11
Croatia,HRV,GDP (current US$),NY.GDP.MKTP.CD,60752588976
Haiti,HTI,GDP (current US$),NY.GDP.MKTP.CD,14332163266
Hungary,HUN,GDP (current US$),NY.GDP.MKTP.CD,1.63469E+11
IBRD only,IBD,GDP (current US$),NY.GDP.MKTP.CD,3.1539E+13
IDA & IBRD total,IBT,GDP (current US$),NY.GDP.MKTP.CD,3.3852E+13
IDA total,IDA,GDP (current US$),NY.GDP.MKTP.CD,2.32031E+12
IDA blend,IDB,GDP (current US$),NY.GDP.MKTP.CD,9.91548E+11
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1.11919E+12
IDA only,IDX,GDP (current US$),NY.GDP.MKTP.CD,1.33197E+12
Isle of Man,IMN,GDP (current US$),NY.GDP.MKTP.CD,
India,IND,GDP (current US$),NY.GDP.MKTP.CD,2.86893E+12
Not classified,INX,GDP (current US$),NY.GDP.MKTP.CD,
Ireland,IRL,GDP (current US$),NY.GDP.MKTP.CD,3.88699E+11
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,
Iraq,IRQ,GDP (current US$),NY.GDP.MKTP.CD,2.34094E+11
Iceland,ISL,GDP (current US$),NY.GDP.MKTP.CD,24188038474
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,3.94652E+11
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,2.00358E+12
Jamaica,JAM,GDP (current US$),NY.GDP.MKTP.CD,16458071068
Jordan,JOR,GDP (current US$),NY.GDP.MKTP.CD,44502895862
Japan,JPN,GDP (current US$),NY.GDP.MKTP.CD,5.08177E+12
Kazakhstan,KAZ,GDP (current US$),NY.GDP.MKTP.CD,1.81666E+11
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,95503088538
Kyrgyz Republic,KGZ,GDP (current US$),NY.GDP.MKTP.CD,8454619608
Cambodia,KHM,GDP (current US$),NY.GDP.MKTP.CD,27089389787
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,194647201.9
St. Kitts and Nevis,KNA,GDP (current US$),NY.GDP.MKTP.CD,1053244444
"Korea, Rep.",KOR,GDP (current US$),NY.GDP.MKTP.CD,1.64674E+12
Kuwait,KWT,GDP (current US$),NY.GDP.MKTP.CD,1.34629E+11
Latin America & Caribbean (excluding high income),LAC,GDP (current US$),NY.GDP.MKTP.CD,5.1496E+12
Lao PDR,LAO,GDP (current US$),NY.GDP.MKTP.CD,18173839147
Lebanon,LBN,GDP (current US$),NY.GDP.MKTP.CD,51991634492
Liberia,LBR,GDP (current US$),NY.GDP.MKTP.CD,3070518100
Libya,LBY,GDP (current US$),NY.GDP.MKTP.CD,52091152228
St. Lucia,LCA,GDP (current US$),NY.GDP.MKTP.CD,2122450630
Latin America & Caribbean,LCN,GDP (current US$),NY.GDP.MKTP.CD,5.73377E+12
Least developed countries: UN classification,LDC,GDP (current US$),NY.GDP.MKTP.CD,1.11524E+12
Low income,LIC,GDP (current US$),NY.GDP.MKTP.CD,5.41512E+11
Liechtenstein,LIE,GDP (current US$),NY.GDP.MKTP.CD,
Sri Lanka,LKA,GDP (current US$),NY.GDP.MKTP.CD,84008783756
Lower middle income,LMC,GDP (current US$),NY.GDP.MKTP.CD,6.33493E+12
Low & middle income,LMY,GDP (current US$),NY.GDP.MKTP.CD,3.26435E+13
Lesotho,LSO,GDP (current US$),NY.GDP.MKTP.CD,2376328637
Late-demographic dividend,LTE,GDP (current US$),NY.GDP.MKTP.CD,2.29204E+13
Lithuania,LTU,GDP (current US$),NY.GDP.MKTP.CD,54627411860
Luxembourg,LUX,GDP (current US$),NY.GDP.MKTP.CD,71104919108
Latvia,LVA,GDP (current US$),NY.GDP.MKTP.CD,34102913582
"Macao SAR, China",MAC,GDP (current US$),NY.GDP.MKTP.CD,53859116536
St. Martin (French part),MAF,GDP (current US$),NY.GDP.MKTP.CD,
Morocco,MAR,GDP (current US$),NY.GDP.MKTP.CD,1.197E+11
Monaco,MCO,GDP (current US$),NY.GDP.MKTP.CD,
Moldova,MDA,GDP (current US$),NY.GDP.MKTP.CD,11968713370
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,14114631281
Maldives,MDV,GDP (current US$),NY.GDP.MKTP.CD,5642179170
Middle East & North Africa,MEA,GDP (current US$),NY.GDP.MKTP.CD,3.64961E+12
Mexico,MEX,GDP (current US$),NY.GDP.MKTP.CD,1.26887E+12
Marshall Islands,MHL,GDP (current US$),NY.GDP.MKTP.CD,
Middle income,MIC,GDP (current US$),NY.GDP.MKTP.CD,3.20879E+13
North Macedonia,MKD,GDP (current US$),NY.GDP.MKTP.CD,12547040499
Mali,MLI,GDP (current US$),NY.GDP.MKTP.CD,17279566719
Malta,MLT,GDP (current US$),NY.GDP.MKTP.CD,14989415684
Myanmar,MMR,GDP (current US$),NY.GDP.MKTP.CD,76085852617
Middle East & North Africa (excluding high income),MNA,GDP (current US$),NY.GDP.MKTP.CD,
Montenegro,MNE,GDP (current US$),NY.GDP.MKTP.CD,5542577965
Mongolia,MNG,GDP (current US$),NY.GDP.MKTP.CD,13996719329
Northern Mariana Islands,MNP,GDP (current US$),NY.GDP.MKTP.CD,
Mozambique,MOZ,GDP (current US$),NY.GDP.MKTP.CD,15291448212
Mauritania,MRT,GDP (current US$),NY.GDP.MKTP.CD,7600656944
Mauritius,MUS,GDP (current US$),NY.GDP.MKTP.CD,14048430519
Malawi,MWI,GDP (current US$),NY.GDP.MKTP.CD,7666704427
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,3.64681E+11
North America,NAC,GDP (current US$),NY.GDP.MKTP.CD,2.31771E+13
Namibia,NAM,GDP (current US$),NY.GDP.MKTP.CD,12366528259
New Caledonia,NCL,GDP (current US$),NY.GDP.MKTP.CD,
Niger,NER,GDP (current US$),NY.GDP.MKTP.CD,12911689659
Nigeria,NGA,GDP (current US$),NY.GDP.MKTP.CD,4.4812E+11
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,12520915291
Netherlands,NLD,GDP (current US$),NY.GDP.MKTP.CD,9.07051E+11
Norway,NOR,GDP (current US$),NY.GDP.MKTP.CD,4.03336E+11
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,30641380604
Nauru,NRU,GDP (current US$),NY.GDP.MKTP.CD,118223430.1
New Zealand,NZL,GDP (current US$),NY.GDP.MKTP.CD,2.06929E+11
OECD members,OED,GDP (current US$),NY.GDP.MKTP.CD,5.36994E+13
Oman,OMN,GDP (current US$),NY.GDP.MKTP.CD,76331518669
Other small states,OSS,GDP (current US$),NY.GDP.MKTP.CD,4.32093E+11
Pakistan,PAK,GDP (current US$),NY.GDP.MKTP.CD,2.78222E+11
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,66800800000
Peru,PER,GDP (current US$),NY.GDP.MKTP.CD,2.26848E+11
Philippines,PHL,GDP (current US$),NY.GDP.MKTP.CD,3.76796E+11
Palau,PLW,GDP (current US$),NY.GDP.MKTP.CD,268354919.4
Papua New Guinea,PNG,GDP (current US$),NY.GDP.MKTP.CD,24829107011
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,5.95858E+11
Pre-demographic dividend,PRE,GDP (current US$),NY.GDP.MKTP.CD,1.40379E+12
Puerto Rico,PRI,GDP (current US$),NY.GDP.MKTP.CD,1.04989E+11
"Korea, Dem. People’s Rep.",PRK,GDP (current US$),NY.GDP.MKTP.CD,
Portugal,PRT,GDP (current US$),NY.GDP.MKTP.CD,2.38785E+11
Paraguay,PRY,GDP (current US$),NY.GDP.MKTP.CD,38145288940
West Bank and Gaza,PSE,GDP (current US$),NY.GDP.MKTP.CD,
Pacific island small states,PSS,GDP (current US$),NY.GDP.MKTP.CD,10634784073
Post-demographic dividend,PST,GDP (current US$),NY.GDP.MKTP.CD,5.07699E+13
French Polynesia,PYF,GDP (current US$),NY.GDP.MKTP.CD,
Qatar,QAT,GDP (current US$),NY.GDP.MKTP.CD,1.75838E+11
Romania,ROU,GDP (current US$),NY.GDP.MKTP.CD,2.50077E+11
Russian Federation,RUS,GDP (current US$),NY.GDP.MKTP.CD,1.69988E+12
Rwanda,RWA,GDP (current US$),NY.GDP.MKTP.CD,10354417725
South Asia,SAS,GDP (current US$),NY.GDP.MKTP.CD,3.59184E+12
Saudi Arabia,SAU,GDP (current US$),NY.GDP.MKTP.CD,7.92967E+11
Sudan,SDN,GDP (current US$),NY.GDP.MKTP.CD,30513456085
Senegal,SEN,GDP (current US$),NY.GDP.MKTP.CD,23578084052
Singapore,SGP,GDP (current US$),NY.GDP.MKTP.CD,3.72063E+11
Solomon Islands,SLB,GDP (current US$),NY.GDP.MKTP.CD,1589913622
Sierra Leone,SLE,GDP (current US$),NY.GDP.MKTP.CD,4121733705
El Salvador,SLV,GDP (current US$),NY.GDP.MKTP.CD,27022640000
San Marino,SMR,GDP (current US$),NY.GDP.MKTP.CD,
Somalia,SOM,GDP (current US$),NY.GDP.MKTP.CD,
Serbia,SRB,GDP (current US$),NY.GDP.MKTP.CD,51475016532
Sub-Saharan Africa (excluding high income),SSA,GDP (current US$),NY.GDP.MKTP.CD,1.75118E+12
South Sudan,SSD,GDP (current US$),NY.GDP.MKTP.CD,
Sub-Saharan Africa,SSF,GDP (current US$),NY.GDP.MKTP.CD,1.76694E+12
Small states,SST,GDP (current US$),NY.GDP.MKTP.CD,5.20457E+11
Sao Tome and Principe,STP,GDP (current US$),NY.GDP.MKTP.CD,418637389
Suriname,SUR,GDP (current US$),NY.GDP.MKTP.CD,3697371950
Slovak Republic,SVK,GDP (current US$),NY.GDP.MKTP.CD,1.0508E+11
Slovenia,SVN,GDP (current US$),NY.GDP.MKTP.CD,54174227309
Sweden,SWE,GDP (current US$),NY.GDP.MKTP.CD,5.30884E+11
Eswatini,SWZ,GDP (current US$),NY.GDP.MKTP.CD,4471598727
Sint Maarten (Dutch part),SXM,GDP (current US$),NY.GDP.MKTP.CD,
Seychelles,SYC,GDP (current US$),NY.GDP.MKTP.CD,1703387387
Syrian Arab Republic,SYR,GDP (current US$),NY.GDP.MKTP.CD,
Turks and Caicos Islands,TCA,GDP (current US$),NY.GDP.MKTP.CD,1197415000
Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,11314951343
East Asia & Pacific (IDA & IBRD countries),TEA,GDP (current US$),NY.GDP.MKTP.CD,1.71189E+13
Europe & Central Asia (IDA & IBRD countries),TEC,GDP (current US$),NY.GDP.MKTP.CD,4.15516E+12
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,5490272413
Thailand,THA,GDP (current US$),NY.GDP.MKTP.CD,5.43549E+11
Tajikistan,TJK,GDP (current US$),NY.GDP.MKTP.CD,8116626794
Turkmenistan,TKM,GDP (current US$),NY.GDP.MKTP.CD,
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP (current US$),NY.GDP.MKTP.CD,5.48796E+12
Timor-Leste,TLS,GDP (current US$),NY.GDP.MKTP.CD,2017924900
Middle East & North Africa (IDA & IBRD countries),TMN,GDP (current US$),NY.GDP.MKTP.CD,
Tonga,TON,GDP (current US$),NY.GDP.MKTP.CD,512350059.4
South Asia (IDA & IBRD),TSA,GDP (current US$),NY.GDP.MKTP.CD,3.59184E+12
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP (current US$),NY.GDP.MKTP.CD,1.76694E+12
Trinidad and Tobago,TTO,GDP (current US$),NY.GDP.MKTP.CD,24269714810
Tunisia,TUN,GDP (current US$),NY.GDP.MKTP.CD,38796687568
Turkey,TUR,GDP (current US$),NY.GDP.MKTP.CD,7.61425E+11
Tuvalu,TUV,GDP (current US$),NY.GDP.MKTP.CD,47271463.33
Tanzania,TZA,GDP (current US$),NY.GDP.MKTP.CD,63177068175
Uganda,UGA,GDP (current US$),NY.GDP.MKTP.CD,35165157017
Ukraine,UKR,GDP (current US$),NY.GDP.MKTP.CD,1.53781E+11
Upper middle income,UMC,GDP (current US$),NY.GDP.MKTP.CD,2.57418E+13
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,56045912953
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,2.14332E+13
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,57921286440
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,824718518.5
"Venezuela, RB",VEN,GDP (current US$),NY.GDP.MKTP.CD,
British Virgin Islands,VGB,GDP (current US$),NY.GDP.MKTP.CD,
Virgin Islands (U.S.),VIR,GDP (current US$),NY.GDP.MKTP.CD,
Vietnam,VNM,GDP (current US$),NY.GDP.MKTP.CD,2.61921E+11
Vanuatu,VUT,GDP (current US$),NY.GDP.MKTP.CD,934239973.8
World,WLD,GDP (current US$),NY.GDP.MKTP.CD,8.77346E+13
Samoa,WSM,GDP (current US$),NY.GDP.MKTP.CD,852250191
Kosovo,XKX,GDP (current US$),NY.GDP.MKTP.CD,7926133714
"Yemen, Rep.",YEM,GDP (current US$),NY.GDP.MKTP.CD,22581081994
South Africa,ZAF,GDP (current US$),NY.GDP.MKTP.CD,3.51432E+11
Zambia,ZMB,GDP (current US$),NY.GDP.MKTP.CD,23309773923
Zimbabwe,ZWE,GDP (current US$),NY.GDP.MKTP.CD,21440758800
